"Country" "Continent" "LE" "CigCon" "LE.q" "Cont" "Cont2" "HealthExpPC" "Year" "HE" "LogHE" "HE5"
"Fiji" "Fiji" "Australia" 58.8 976 "(51.8,63.4]" "Astr" "Australia" 147.6 2004 "(31.1,152]" 4.99450591216637 "(81.2,212]"
"Finland" "Finland" "Europe" 71.1 1351 "(63.4,75]" "Eurp" "Europe" 2664.3 2004 "(476,6.1e+03]" 7.88769663793257 "(695,6.1e+03]"
"France" "France" "Europe" 72 2058 "(63.4,75]" "Eurp" "Europe" 3464 2004 "(476,6.1e+03]" 8.15017926968233 "(695,6.1e+03]"
"Gabon" "Gabon" "Africa" 51.4 487 "(40.2,51.8]" "Afrc" "Africa" 231.3 2004 "(152,476]" 5.44371556923739 "(212,695]"
"The Gambia" "The Gambia" "Africa" 49.5 171 "(40.2,51.8]" "Afrc" "Africa" 18.5 2004 "[0.3,31.1]" 2.91777073208428 "[0.3,24.2]"
"Georgia" "Georgia" "Europe" 64.4 NA "(63.4,75]" "Eurp" "Europe" 60 2004 "(31.1,152]" 4.0943445622221 "(24.2,81.2]"
"Germany" "Germany" "Europe" 71.8 1702 "(63.4,75]" "Eurp" "Europe" 3521.4 2004 "(476,6.1e+03]" 8.16661391679234 "(695,6.1e+03]"
"Ghana" "Ghana" "Africa" 49.8 161 "(40.2,51.8]" "Afrc" "Africa" 27.2 2004 "[0.3,31.1]" 3.30321697330195 "(24.2,81.2]"
"Greece" "Greece" "Europe" 71 4313 "(63.4,75]" "Eurp" "Europe" 1879.3 2004 "(476,6.1e+03]" 7.53865464606255 "(695,6.1e+03]"
"Grenada" "Grenada" "South America" 59.2 NA "(51.8,63.4]" "SthA" "S.America" 292.9 2004 "(152,476]" 5.67983125383369 "(212,695]"
"Guatemala" "Guatemala" "South America" 57.4 609 "(51.8,63.4]" "SthA" "S.America" 126.9 2004 "(31.1,152]" 4.84339937472034 "(81.2,212]"
"Guinea" "Guinea" "Africa" 44.8 NA "(40.2,51.8]" "Afrc" "Africa" 21.8 2004 "[0.3,31.1]" 3.08190996979504 "[0.3,24.2]"
"Guinea-Bissau" "Guinea-Bissau" "Africa" 40.5 90 "(40.2,51.8]" "Afrc" "Africa" 8.7 2004 "[0.3,31.1]" 2.16332302566054 "[0.3,24.2]"
"Guyana" "Guyana" "South America" 55.2 590 "(51.8,63.4]" "SthA" "S.America" 55.9 2004 "(31.1,152]" 4.02356438016105 "(24.2,81.2]"
"Haiti" "Haiti" "North America" 43.8 NA "(40.2,51.8]" "NrtA" "N.America" 33 2004 "(31.1,152]" 3.49650756146648 "(24.2,81.2]"
"Honduras" "Honduras" "South America" 58.4 595 "(51.8,63.4]" "SthA" "S.America" 77.1 2004 "(31.1,152]" 4.34510328056928 "(24.2,81.2]"
"Hungary" "Hungary" "Europe" 64.9 3265 "(63.4,75]" "Eurp" "Europe" 800.2 2004 "(476,6.1e+03]" 6.68486169642313 "(695,6.1e+03]"
"Iceland" "Iceland" "Europe" 72.8 1915 "(63.4,75]" "Eurp" "Europe" 4413 2004 "(476,6.1e+03]" 8.39231000926955 "(695,6.1e+03]"
"India" "India" "Asia" 53.5 129 "(51.8,63.4]" "Asia" "Asia" 31.4 2004 "(31.1,152]" 3.44680789291421 "(24.2,81.2]"
"Indonesia" "Indonesia" "Asia" 58.1 1742 "(51.8,63.4]" "Asia" "Asia" 32.5 2004 "(31.1,152]" 3.48124008933569 "(24.2,81.2]"
"Iran" "Iran" "Asia" 57.6 NA "(51.8,63.4]" "Asia" "Asia" 157.8 2004 "(152,476]" 5.06132840841177 "(81.2,212]"
"Iraq" "Iraq" "Asia" 50.1 1430 "(40.2,51.8]" "Asia" "Asia" 57.7 2004 "(31.1,152]" 4.05525717351405 "(24.2,81.2]"
"Ireland" "Ireland" "Europe" 69.8 2236 "(63.4,75]" "Eurp" "Europe" 3234.1 2004 "(476,6.1e+03]" 8.08150596111849 "(695,6.1e+03]"
"Israel" "Israel" "Asia" 71.4 2162 "(63.4,75]" "Asia" "Asia" 1533.5 2004 "(476,6.1e+03]" 7.33530798355431 "(695,6.1e+03]"
"Italy" "Italy" "Europe" 72.7 1901 "(63.4,75]" "Eurp" "Europe" 2579.6 2004 "(476,6.1e+03]" 7.85538962713622 "(695,6.1e+03]"
"Jamaica" "Jamaica" "North America" 65.1 735 "(63.4,75]" "NrtA" "N.America" 175.6 2004 "(152,476]" 5.16820868120102 "(81.2,212]"
"Japan" "Japan" "Asia" 75 3023 "(63.4,75]" "Asia" "Asia" 2831.1 2004 "(476,6.1e+03]" 7.9484206076954 "(695,6.1e+03]"
"Jordan" "Jordan" "Asia" 61 1832 "(51.8,63.4]" "Asia" "Asia" 199.9 2004 "(152,476]" 5.29781724150635 "(81.2,212]"
"Kazakhstan" "Kazakhstan" "Asia" 55.9 2160 "(51.8,63.4]" "Asia" "Asia" 109.1 2004 "(31.1,152]" 4.69226489283902 "(81.2,212]"
"Kenya" "Kenya" "Africa" 44.4 200 "(40.2,51.8]" "Afrc" "Africa" 20.1 2004 "[0.3,31.1]" 3.00071981506503 "[0.3,24.2]"
"Kiribati" "Kiribati" "Asia" 54 NA "(51.8,63.4]" "Asia" "Asia" 111.9 2004 "(31.1,152]" 4.71760561531788 "(81.2,212]"
"Korea, North" "Korea, North" "Asia" 58.8 NA "(51.8,63.4]" "Asia" "Asia" 0.3 2004 "[0.3,31.1]" -1.20397280432594 "[0.3,24.2]"
"Korea, South" "Korea, South" "Asia" 67.8 NA "(63.4,75]" "Asia" "Asia" 787 2004 "(476,6.1e+03]" 6.6682282484174 "(695,6.1e+03]"
"Kuwait" "Kuwait" "Asia" 67 3062 "(63.4,75]" "Asia" "Asia" 632.8 2004 "(476,6.1e+03]" 6.45015441645344 "(212,695]"
"Kyrgyzstan" "Kyrgyzstan" "Asia" 55.3 1886 "(51.8,63.4]" "Asia" "Asia" 23.7 2004 "[0.3,31.1]" 3.16547504814109 "[0.3,24.2]"
"Laos" "Laos" "Asia" 47 NA "(40.2,51.8]" "Asia" "Asia" 16.8 2004 "[0.3,31.1]" 2.82137888640921 "[0.3,24.2]"
"Latvia" "Latvia" "Europe" 62.8 NA "(51.8,63.4]" "Eurp" "Europe" 417.8 2004 "(152,476]" 6.03500284912247 "(212,695]"
"Lebanon" "Lebanon" "Asia" 60.4 NA "(51.8,63.4]" "Asia" "Asia" 670.2 2004 "(476,6.1e+03]" 6.50757617530321 "(212,695]"
"Lesotho" "Lesotho" "Africa" 31.4 NA "(28.6,40.2]" "Afrc" "Africa" 49.4 2004 "(31.1,152]" 3.89995042419388 "(24.2,81.2]"
"Liberia" "Liberia" "Africa" 35.3 89 "(28.6,40.2]" "Afrc" "Africa" 8.6 2004 "[0.3,31.1]" 2.15176220325946 "[0.3,24.2]"
"Libya" "Libya" "Africa" 63.7 NA "(63.4,75]" "Afrc" "Africa" 195.4 2004 "(152,476]" 5.27504873960868 "(81.2,212]"
"Lithuania" "Lithuania" "Europe" 63.3 NA "(51.8,63.4]" "Eurp" "Europe" 423.8 2004 "(152,476]" 6.0492616458342 "(212,695]"
"Luxembourg" "Luxembourg" "Europe" 71.5 NA "(63.4,75]" "Eurp" "Europe" 5904 2004 "(476,6.1e+03]" 8.68338536628031 "(695,6.1e+03]"
"Macedonia" "Macedonia" "Europe" 63.4 NA "(51.8,63.4]" "Eurp" "Europe" 211.6 2004 "(152,476]" 5.35469769998414 "(81.2,212]"
"Madagascar" "Madagascar" "Africa" 48.6 315 "(40.2,51.8]" "Afrc" "Africa" 7.3 2004 "[0.3,31.1]" 1.98787434815435 "[0.3,24.2]"
"Malawi" "Malawi" "Africa" 34.9 123 "(28.6,40.2]" "Afrc" "Africa" 19.3 2004 "[0.3,31.1]" 2.96010509591084 "[0.3,24.2]"
"Malaysia" "Malaysia" "Asia" 63.2 910 "(51.8,63.4]" "Asia" "Asia" 180.1 2004 "(152,476]" 5.19351225218191 "(81.2,212]"
"Maldives" "Maldives" "Asia" 57.8 1441 "(51.8,63.4]" "Asia" "Asia" 180.1 2004 "(152,476]" 5.19351225218191 "(81.2,212]"
"Mali" "Mali" "Africa" 37.9 223 "(28.6,40.2]" "Afrc" "Africa" 23.8 2004 "[0.3,31.1]" 3.16968558067743 "[0.3,24.2]"
"Malta" "Malta" "Europe" 71 2668 "(63.4,75]" "Eurp" "Europe" 1239.4 2004 "(476,6.1e+03]" 7.12238267052801 "(695,6.1e+03]"
"Marshall Islands" "Marshall Islands" "Australia" 54.8 NA "(51.8,63.4]" "Astr" "Australia" 271.9 2004 "(152,476]" 5.60543435163842 "(212,695]"
"Mauritania" "Mauritania" "Africa" 44.5 317 "(40.2,51.8]" "Afrc" "Africa" 14.5 2004 "[0.3,31.1]" 2.67414864942653 "[0.3,24.2]"
"Mauritius" "Mauritius" "Africa" 62.4 1284 "(51.8,63.4]" "Afrc" "Africa" 222.3 2004 "(152,476]" 5.40402782097015 "(212,695]"
"Mexico" "Mexico" "North America" 65.5 754 "(63.4,75]" "NrtA" "N.America" 424.3 2004 "(152,476]" 6.05044075220828 "(212,695]"
